"idx","S_mean","S_p80_l","S_p80_h","S_p95_l","S_p95_h","iter_mean","iter_p80_l","iter_p80_h","iter_p95_l","iter_p95_h"
1,50.43415309267324,54.553251450424064,46.03601674088637,56.67563111951664,43.72161377242399,81.55575448921508,88.41099301841085,74.67374128375208,91.43626830468214,70.42645327731616
2,53.67998574862316,57.9388590720351,49.34701296613951,59.80901038494987,46.725857831429074,76.58891045761926,82.57289908908349,70.29826196852555,85.62508627541634,67.03861272182854
3,51.28109053252424,55.636599376734864,46.58239635455996,57.82400340970239,44.26375833157761,80.24998337103163,87.33069249236021,73.21282150072507,90.2406559299531,68.94505114114286
4,54.68019391362826,59.20930856917464,49.969333929624696,61.72913779780855,47.437369506040355,75.22645029094853,81.48628207489821,68.77968269004172,84.30595360196014,64.45890959780161
5,62.21524693737342,67.13954402873802,56.69232354757834,69.49825106860126,53.86814300831044,66.12236414495464,71.77659670327935,60.749960119359756,74.19668230307812,57.680112650693246
6,45.20736746167994,49.193646924121964,41.18779982448511,50.91198731096579,38.65858699943259,91.03313142705325,98.85978170722528,82.69963803786752,102.92590338565134,78.37727277780704
7,59.81659504633256,64.94372575110981,55.133434843683176,67.39965941250273,51.6520368682413,68.7633459851393,74.02257055686492,62.631095416298635,77.2746977575235,59.10961678186426
8,49.96927739501025,53.90539276523363,46.294809028307405,55.772446769650166,43.7351130743216,82.27434973569135,88.19310592065172,75.56932248821369,91.67058879122273,71.80788446179703
9,49.103815932428795,53.11913814632312,44.59227199054977,54.828534523874744,42.54832355198608,83.77062948488053,91.14521866076335,76.69766714313607,93.95069295222169,73.11787159759432
10,49.67812850538909,53.58908484960756,45.56417452624488,55.25403800398197,43.03098384797039,82.7663010566803,89.38756710504771,76.036129290033,92.81213551734955,72.65738527430716
11,52.3476669358164,56.71375730497433,48.06373004690532,58.38362385206556,45.58970972959618,78.57374429432316,84.82037913386384,71.78138200569006,87.84782004794533,68.70333486596782
12,45.62215877327087,49.253758825128955,41.72989736566848,51.22053664728683,39.63490776261691,90.14926846174917,97.57514184557215,82.75279761164545,100.93314875936186,77.9591242853922
13,47.41847594095837,51.1670772623576,43.67944498481468,53.075747745212375,41.516438273291094,86.70844430736778,93.35043710755465,79.6222524627017,96.59841933277932,75.33491879296713
14,55.997377727847194,60.68469478215906,51.092969895768405,62.8305960859794,48.546667307973394,73.46448234276316,79.6731368883939,67.10056306950176,82.37224432238378,63.616206136348836
15,53.90975696963778,58.476090218307554,49.27170960582287,60.26141676069436,46.41014165903208,76.30685286663282,82.6537801261595,69.60363874271279,85.91375733182348,66.48732542807608
16,56.67025222184327,61.12703569030512,52.03857720383286,63.81315134239105,48.62405591060258,72.59092319837347,78.3650214308673,66.73462661063425,81.89035960090379,62.480055433660496
17,49.17528827902274,53.23727282669026,45.06635905036536,55.58485272548054,42.65383100134257,83.65772897214288,90.44465916300108,76.52184139264003,93.77434488403597,71.53782030686378
18,47.53755250939593,51.29086247847419,43.70650741190616,53.162789356189855,41.63139745346611,86.50045411606611,93.26347737136838,79.4512705507933,96.35943788352307,75.27306921391023
19,46.52217621619511,50.35928286202357,42.65223513861757,52.14748184424542,40.19604931313885,88.425978752915,95.569403143624,80.89334618746568,99.3470996056374,76.697544887325
20,50.23846369801514,54.60493500704163,45.88543867291008,56.27202759814407,43.58252860474619,81.88432779013527,88.73864448737723,74.47669116835148,91.77552981155738,71.10923913030697
21,50.434069455681296,54.54555763280837,46.31948569446714,56.539283652551354,43.606692608140506,81.56206063884831,88.03519088163078,74.70072364863931,91.59246770048257,70.72347440486584
22,42.12903737582755,45.568337278098426,38.5164882126788,47.12551673694884,36.91404779630609,97.63152567228362,105.71652868979774,89.39518115845465,108.74736271150636,84.95554173594147
23,47.02456229917489,50.83020877111037,42.94882936758061,52.9130313623943,40.88661645974659,87.49050333867096,94.82491349032951,80.20768633006452,97.93418503951892,75.40908142278846
24,42.18111510369247,45.391291286538866,38.954518597848065,46.597739145820896,36.9784781443249,97.45161712554679,104.6982911902484,89.79926704361635,108.46010086317192,86.44153334800916
25,43.291364204801894,46.89852797321053,39.71651804039292,48.72066456695717,37.76804765792439,95.01045138456394,102.62318130066582,86.80601449483802,106.11169531467601,81.8387387184796
